# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.8010000,-39.8924000,-43.3497000,0.7612400,0.0014798,-0.0001554,0.0086682,0.6009170,0.2067880,-0.0938740,0.0004987,-0.0010090,-0.7612400
0.8100000,-39.8925000,-43.3497000,0.7611900,-0.0067706,-0.0019299,-0.0163076,-2.3741200,-0.6328040,-4.0209700,0.0005208,-0.0010003,-0.7611900
0.8220000,-39.8925000,-43.3497000,0.7611890,-0.0054965,-0.0034682,0.0037194,-0.8050190,-1.6649300,0.8861130,0.0005774,-0.0009850,-0.7611890
0.8310000,-39.8925000,-43.3497000,0.7612190,-0.0021339,-0.0025238,0.0049905,-0.6495220,-0.3413070,0.7416530,0.0005895,-0.0009683,-0.7612190
0.8400000,-39.8925000,-43.3498000,0.7612000,-0.0031071,0.0001389,-0.0002033,-0.0045878,0.2811250,-1.7346600,0.0005383,-0.0010013,-0.7612000
0.8520000,-39.8925000,-43.3498000,0.7611640,0.0016571,0.0001838,-0.0011877,-0.1322120,0.5635560,0.2543380,0.0005186,-0.0009952,-0.7611640
0.8610000,-39.8925000,-43.3498000,0.7611950,0.0020111,-0.0000388,0.0011160,0.2510330,-0.2438570,-1.7051600,0.0004969,-0.0010005,-0.7611950
0.8700000,-39.8925000,-43.3498000,0.7612050,-0.0024666,-0.0009775,-0.0033012,-1.3015700,-0.5600000,-2.7158700,0.0005016,-0.0009973,-0.7612050
0.8820000,-39.8925000,-43.3497000,0.7613410,0.0018428,-0.0002401,0.0163078,-0.7138810,-0.6042330,0.0552213,0.0004652,-0.0010090,-0.7613410
0.8910000,-39.8924000,-43.3497000,0.7614280,0.0026510,0.0007724,0.0073026,-1.3659200,-0.7714540,-1.1483200,0.0005231,-0.0009730,-0.7614280
0.9000000,-39.8924000,-43.3497000,0.7614480,0.0008593,-0.0009696,-0.0052196,-0.6789980,-0.6045150,-3.7285500,0.0005101,-0.0009738,-0.7614480
0.9120000,-39.8924000,-43.3497000,0.7616650,0.0017268,0.0007885,0.0286484,0.3970580,0.0444839,1.6936600,0.0004999,-0.0009769,-0.7616650
0.9210000,-39.8924000,-43.3497000,0.7618880,-0.0009858,0.0000214,0.0244103,-0.0525950,0.1558230,1.5258800,0.0005071,-0.0009761,-0.7618880
0.9300000,-39.8924000,-43.3497000,0.7620100,-0.0010065,-0.0012994,0.0081902,-0.7493040,-0.6585720,-1.5173800,0.0005096,-0.0009746,-0.7620100
0.9420000,-39.8924000,-43.3497000,0.7620980,-0.0004976,-0.0000209,0.0159911,-0.5572700,0.0408703,2.2265000,0.0005126,-0.0009654,-0.7620980
0.9510000,-39.8924000,-43.3497000,0.7622470,-0.0004063,0.0002380,0.0160670,-0.8005370,-0.1158660,-0.3123920,0.0005016,-0.0009690,-0.7622470
0.9600000,-39.8924000,-43.3497000,0.7623140,0.0015875,0.0005225,-0.0004630,0.6836620,0.3219150,-3.4586000,0.0005064,-0.0009677,-0.7623140
